127.0.0.1 - - [21/Mar/2024:15:45:35 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:45:36 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:45:36 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:54:21 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:54:29 +0100] "GET /hello/HelloServlet?to=ciao HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:54:45 +0100] "GET /hello/HelloServlet?to=ciao HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:54:47 +0100] "GET /hello/HelloServlet?to=ciao HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:56:45 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:56:46 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:56:46 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:56:46 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Mar/2024:15:57:01 +0100] "GET /hello/HelloServlet?to=Chicca HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:24 +0100] "GET /hello/HelloServlet?to=Chicca HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:27 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:28 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:29 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:29 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:34 +0100] "GET /hello/HelloServlet?to=ciao HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:00:41 +0100] "GET /hello/HelloServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:01:17 +0100] "GET /hello/HelloServlet?to= HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:01:27 +0100] "GET /hello/HelloServlet?to HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:01:35 +0100] "GET /hello/HelloServlet? HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:02:57 +0100] "GET /hello/HelloServlet? HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [21/Mar/2024:16:03:13 +0100] "GET /hello/HelloServlet?to= HTTP/1.1" 200 65
