127.0.0.1 - - [08/May/2024:13:42:10 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:11 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:11 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:11 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/resources/Ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:11 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/resources/ajaxLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:11 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/css/Struttura.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:11 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:14 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ProdottiView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:14 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Controllo HTTP/1.1" 200 9821
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:14 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/icona_carrello.png HTTP/1.1" 200 34566
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:14 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/account.png HTTP/1.1" 200 11806
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/Benvenuto.png HTTP/1.1" 200 35380
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/css/Bottone.css HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/0scorrimento.jpg HTTP/1.1" 200 24600
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/4scorrimento.jpeg HTTP/1.1" 200 62636
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/3scorrimento.jpeg HTTP/1.1" 200 57058
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/resources/imageScorrimento.js HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/1scorrimento.jpeg HTTP/1.1" 200 36960
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/2scorrimento.jpeg HTTP/1.1" 200 29725
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/resources/imageZoom.js HTTP/1.1" 200 159
